,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
,Epoxyethane,,,,,,,,,,,,,,,,,,
Ethylene oxide/propylene oxide mix,,,,,2,1g,D,Y,16,,,,N,N,N,,,2983,Tank type IG required. See SNi handling manual for
,,,,,,,,,,,,,,,,,,,P.O. Cooling required. Should be able to handle on 
,,,,,,,,,,,,,,,,,,,the K-40. Must have full specs. before booking.
,,,,,,,,,,,,,,,,,,,Decktks must have insulation.
Ethylene/Vinyl acetate copolymer,,1.050,20,,3,,N,N,43,100,,,Y,N,N,milky,Y,,"Not liste in any resistancy lists, but should be OK in"
,,,,,,,,,,,,,,,,white,,,SS and all coatings. Tank must be cleaned immed-
,Resyn 1800 (25-1800),,,,,,,,,,,,,,,,,,iatley after discharge with cold water. If left unclean
,,,,,,,,,,,,,,,,,,,"could end up with dried resin on bulkheads, in lines"
,,,,,,,,,,,,,,,,,,,and valves etc. Stolt C or Lac should be best for
,,,,,,,,,,,,,,,,,,,spots etc. Pollution  Appendix 3
Ethylenenemine,,.832,20,,,,,,,57,-78,-11,N,N,N,clear,,,More info required. Presently not authorized in bulk
,Dimethyleneimine,,,,,,,,,,,,,,,,,,in US waters. Known carcinogen.
Ethylhexaldehyde,,.820,20,,3,,,N,19,164,44,,,,,c-less,,1191,Full specs. and heating insstructions req. Will requier
,Butylethylacetaldehyde,,,,,,,,,,,,,,,,,,high heat. USCG classified as noncompliance.
,Ethylcaproaldehyde-2,,,,,,,,,,,,,,,,,,
,Ethylhexaldehyde-2,,,,,,,,,,,,,,,,,,
,Ethylhexanal-2,,,,,,,,,,,,,,,,,,
,Octylaldehyde,,,,,,,,,,,,,,,,,,
Ethylhexoic acid-2,,.900,20,,3,,D,N,4,227,,127,N,N,N,clear,sli,,SS stowage and N2 recommended. Color sensat-
,Octanoic acid,,,,,,,,,,,,,,,,,,"ive. Clean with ambient temp water, ventilate."
,Ethyl hexanoic acid-2,,,,,,,,,,,,,,,,,,
,Butylethylacetic  acid,,,,,,,,,,,,,,,,,,
,2-ethylhexanoic acid,,,,,,,,,,,,,,,,,,
,Ethylhexanoic acid-2,,,,,,,,,,,,,,,,,,
,Ethylhexanoic acid,,,,,,,,,,,,,,,,,,
,Ethylhexoic acid,,,,,,,,,,,,,,,,,,
,2-ethylhexoic acid,,,,,,,,,,,,,,,,,,
Ethylhexyl acetate-2,,.890,20,,3,,D,N,34,210,.-38,82,Y,N,N,ww,sli,1262,"ww standard, strict inspection bu no bulkhead test."
,,,,,,,,,,,,,,,,,,,N2 blanket recommended on slack tanks.IMO uses
,Octyl Acetate,,,,,,,,,,,,,,,,,,Octyl acetate as proper name for this product.
,,,,,,,,,,,,,,,,,,,"Clean with ambient temp. water, ventilate."
Ethylhexyl acrylate-2 (Inhibited),,.890,,,3,2g,D,Y,14,130,,82,32,N,N,pale,N,,"Inhibited. ww standard, but Celanese require wall "
,Ethylhexyl ester-2,,,,,,,,,,,,,,,,,,wash. No heat adjacent.  Clean with ambient water
,Ethylhexyl-2-propenoate-2,,,,,,,,,,,,,,,,,,"first, then warm water and steam for odor."
,2 -Ethyl hexyl acrylate,,,,,,,,,,,,,,,,,,
,Ethylhexyl acrylate,,,,,,,,,,,,,,,,,,
,2 eh acrylate,,,,,,,,,,,,,,,,,,
Ethylhexyl alcohol-2,,.830,,,3,,C,N,20,182,,82,49,N,N,ww,N,,ww standard. Avoid heat adjacent. Cold wash 
,Octyl alcohol,,,,,,,,,,,,,,, ,,,followed by hot and steam to remove strong odor.
,Ethylhexanol-2,,,,,,,,,,,,,,,,,,IMO name: Octanol all isomers
,Di-ethylhexyl alcohol,,,,,,,,,,,,,,,,,,
,2 ethyl hexanol,,,,,,,,,,,,,,,,,,
,Ethylhexyl alcohol,,,,,,,,,,,,,,,,,,
,2-ethylhexyl alcohol,,,,,,,,,,,,,,,,,,
,2-Eh,,,,,,,,,,,,,,,,,,
,2-ethyl hexanol,,,,,,,,,,,,,,,,,,
,2Ethylhexyl alcohol,,,,,,,,,,,,,,,,,,
Etylhexyl tallate,,.950,20,,3,,,N,34,,,202,,,,pale,N,,More info required. Should be easy product.USCG
,Croplas E H,,,,,,,,,,,,,,,yellow,,,"classified as noncompliance, notyet in IMO code."
Ethylhexylamine-2,,.790,,,2,2g,B,Y,7,169,,60,38,N,N,ww,Y,2276,"ww atandard, no bulkhead test. Color sensative."
,,,,,,,,,,,,,,,,,,,Avoid heat adjacent. Clean with ambient  temp. 
,,,,,,,,,,,,,,,,,,,"water, than steam for odor."
Ethylidene chloride,,1.185,,.00136,3,2g,B,Y,35,57,-96,,,N,N,ww,,2362,ww standard. N2 required. Corrosive when in 
,Dichloroethane 1-1,,,,,,,,,,,,,,,,,,contact with water or moisture. Must have full specs.
,Chlorinated hydrochloric ether,,,,,,,,,,,,,,,,,,before booking.
Ethylidene-5-norbornene-2,,.890,20,,3,2g,B,Y,30,147,-80,36,N,N,N,yellow,N,,ww standard. N2 purging and blanket required.
,ENB,,,,,,,,,,,,,,,,,,Product is inhibited to prevent oxidation.
,Ethylidene bicyclo (2.2.1) heptene,,,,,,,,,,,,,,,,,,"Clean with cold water, ventilate."
Eucalyptus oil,,.925,25,, , ,,N,,,-15,,,,,,,,Must have full specs. this product. Should be no
,Eucalyptol,,,,,,,,,,,,,,,,,,problem Has not been classified for bulk.
,Cineol,,,,,,,,,,,,,,,,,,but should be nonregulated.
,Cajeputol,,,,,,,,,,,,,,,,,,
Exxon solvent mixture enj 1013,,.810,,,,,,N,18,121,,10,N,N,N,ww,ss,,"Mix of MIBK, and ACETATE. Handle as Ketone."
,MIBK/MEK/Acetate mix.,,,,,,,,,,,,,,,,,,"ww standard, cold wash probably annex 3 product."
,,,,,,,,,,,,,,,,,,,but not yet assessed.
Fatty acid mixed,,.830,,,3,,,N,34,227,38,93,Y,54,60,pale,N,,"Get specs., And heating instructions. handle as"
,,,,,,,,,,,,,,,,,,,"fatty acid. Hot wash, Use Stolt C or Lac as required."
,,,,,,,,,,,,,,,,,,,Pollution category depends on what kind of mixture
Fatty acid synthetic,,.900,,,,,,N,34,149,16,93,49,,,white,N,,Get exact specs. and heating instructions. Handle
,,,,,,,,,,,,,,,,,,,as fatty acid. Hot wash. Use stolt C or Lac as requir.
,,,,,,,,,,,,,,,,,,,Not listed by IMO.
Fatty alcohol C-12/14,,.830,,,3,2g,B,Y,20,177,10,93,52,27,38,ww,N,,"Get specific grade, heat instructions, etc. Color"
,Lilial 125,,,,,,,,,,,,,,,,,,sensitive.Hot wash. Use Stolt C for film/spots
Fatty alcohol C-16/18,,.830,,,3,,,N,20,204,46,71,82,55,55,ww,Y,,"Get specific grade, heat instructions, etc. Color"
,,,,,,,,,,,,,,,,,,,sensitive.Hot wash. Use Stolt C for film/spots
Fatty alcohol C-6/10,,.830,,,3,,,N,20,177,,71,38,N,N,ww,N,,"Get specific grade, heat instructions, etc. Color"
,,,,,,,,,,,,,,,,,,,sensitive.Hot wash. Use Stolt C for film/spots
Feeric chloride 40 % solution,,1.440,20,,,,,,,,-12,,N,N,N,brown,Y,2582,"Powerfull oxidizing agent, will dissolve most metals:"
,,,,,,,,,,,,,,,,,,,"Fe, Ni, Pb, Hg, Sn, Co, Mg, No good in SS. Phenolic"
,Iron chloride 40 % solution,,,,,,,,,,,,,,,,,,Polyurethane should be ok at ambient temp. 30C.
,Ferrous chloride 40 % solution,,,,,,,,,,,,,,,,,,"Coatings must bee 100% perfect, not one single"
,,,,,,,,,,,,,,,,,,,"bare spot. All SS material must be remowed(pump,"
,,,,,,,,,,,,,,,,,,,coils etc.) STAY AWAY.
Ferrus slufate,,1.890,,,,,,D,,,64,,Y,Y,Y,green,sli,,"More info, required. Not yet classified for bulkshipm."
,Copperas,,,,,,,,,,,,,,,,,,
,Green vitriol,,,,,,,,,,,,,,,,,,
,Iron sulfate,,,,,,,,,,,,,,,,,,
,Iron vitriol,,,,,,,,,,,,,,,,,,
Fish oil,,.910,,,3,,D,N,34,177,-5,204,49,20,30,pale,N,,"Check FFa, heating may be required in cold climate"
,,,,,,,,,,,,,,,,lt,,,Many different grades. Drying oils: Use ambient 
,Anchovy oil,,,,,,,,,,,,,,,brown,,,wash soon after discharge. Use Stolt LAC on dried
,,,,,,,,,,,,,,,,,,,spots. Be sure to ventilate properly before and
,,,,,,,,,,,,,,,,,,,during sweeping.
Fish oil solubles,,1.100,15,,3,,D,N,34,204,-7,93,Y,29,35,drk,Y,,Handle as crude fish oil. Check FFA. This is garbage
,,,,,,,,,,,,,,,,,,,cargo. Be extra careful when sweeping as may give
,,,,,,,,,,,,,,,,,,,off toxic fumes. Use proper  protection and ventilation
,,,,,,,,,,,,,,,,,,,Clean with 40C water immediatly after discharge
,,,,,,,,,,,,,,,,,,,then recirculate through B/W machines a caustic
,,,,,,,,,,,,,,,,,,,or Stolt C solution. Strong odor could be difficult to remove
Flexol epo and jpo,,.990,,,3,,,N,40,152,-2,316,54,35,35,clear,sli,,Epoxydiezed soybean oil Get heating instructions
,Epoxidized soybean oil,,,,,,,,,,,,,,,,,,each grade. UCC asks for SS stow. Clean with hot   
,,,,,,,,,,,,,,,,,,,"water, use Stolt C for spots."
Flexol NHDP (UCC),,.970,,,3,,,B,40,232,,226,37,N,N,ww,N,,Epoxydiezed soybean oil Get heating instructions
,,,,,,,,,,,,,,,,,,,each grade.  Clean with hot  water.  
Fluosilicic acid 17%,,1.300,25,,,,,,1,100,,,,N,N,clear,Y,,Rubber lined tanks only. Inorganic acid.
,Fluorosilicic acid,,,,,,,,,,,,,,,,,,Extremely corrosive.
,Hexafluosilicic acid,,,,,,,,,,,,,,,,,,
,Hydrofluosilicic acid,,,,,,,,,,,,,,,,,,
,Sand acid,,,,,,,,,,,,,,,,,,
,Silico fluoric acid,,,,,,,,,,,,,,,,,,
Formaldehyde in solutions 45% or less,,1.100,,.00065,3,2g,C,Y,19,98,,66,N,N,N,ww,Y,,Obtan consatration and heating requirements. USCG
,Formalin fyde,,,,,,,,,,,,,,,,,,"has authorized to carry up to 50%, IMO list 45%as"
,Formalith Methamal,,,,,,,,,,,,,,,,,,"max. USCG has also classified a Formaldehyde,"
,Mormicaldehyde,,,,,,,,,,,,,,,,,,Methanol mixture containing more than 50% Form-
,Formol,,,,,,,,,,,,,,,,,,aldehyde. Clean with cold or warm water depending
,Methylene oxide,,,,,,,,,,,,,,,,,,"on heating, steam for odor."
Formaline (Congented),,1.200,,,,,,,,,,,,,,,,,Trade name or  synonym for that above.
,Maphthalene-b,,,,,,,,,,,,,,,,,,
,Formalin,,,,,,,,,,,,,,,,,,
Formamide,,1.150,,.00085,3, ,N,N,7,204,-3,154,38,N,N,ww,Y,,Higly corrosive Flush with fresh water first than warm
,Methanamide,,,,,,,,,,,,,,,,,,seawater to remove oily film.
Formic acid (90 to 98 % pure),,1.220,20,.00131,3,2g,D,Y,4,101,8,69,N,N,N,ww,Y,1779,Higly toxic and corrosive See Stolt handling manual
,Methanoic acid,,,,,,,,,,,,,,,,,,"May require heat (F.P 8,5C) Use adjacent cargo "
,Formylic acid,,,,,,,,,,,,,,,,,,for heating. Celanese require clorid and hydrocarbon
,,,,,,,,,,,,,,,,,,,test. Re Cleaning consult handling manual.
Fuel additive shellswim 5x,,.880,,,3,,,N,32,,27,30,Y,30,40,ww,,,fuel additive. May require heating. Contains xylene.
"Fuel additive, Chevron ofa 410",,.890,,,,,,N,33,149,,676,Y,,54,pale,N,,Get heat inst. Warm/hot wash. Stolt A or B for finish.
"Fuel additive, Chevron ofa 414",,.900,,,,,,N,33,149,,66,Y,27,38,drk,N,,Get heat inst. Warm/hot wash.Check for sediment
,,,,,,,,,,,,,,,,,,, Stolt A or B for finish.
Fuel oil heavy #6,,.980,,,3,,,N,33,204,,38,Y,57,57,drk,N,,Cleaning problems Check Gen Ops prior to booking
Fuel oil heavy #3,,.850,,,3,,,N,33,204,,38,Y,N,N,drk,N,,Cleaning problems Check Gen Ops prior to booking
Fuel oil heavy #4,,.950,,,3,,,N,33,204,,38,Y,27,27,drk,N,,Cleaning problems Check Gen Ops prior to booking
Fuel oil heavy #5,,960,,,3,,,N,33,204,,38,Y,38,38,drk,N,,Cleaning problems Check Gen Ops prior to booking
Fuel oil residual,,.970,15,,3,,N,N,33,260,-7,600,Y,N,Y,blk,N,,Most probably same as Fuel oil #6. Difficult to clean
,,,,,,,,,,,,,,,,,,,Check next cargo ex.
Fuel oil road,,1.000,25,,3,,N,N,33,,,149,,,,,,,Have no specs on this one probably garbage.
Fuel oil transformer,,0.891,15,,3,,N,N,33,,-15,146,49,N,N,cless,,,Have no/very little infos. this product should be ok
Furfural,,1.160,20,,3,2g,C,Y,19,162,-38,66,38,N,N,clear,sli,1199,"Derived from sugar canes, corn cobs, oat and rice"
,Furaldehyde-2,,,,,,,,,,,,,,,redish,,,hulls. Always check acid cont. if syowing  sinc.
,Fural,,,,,,,,,,,,,,,,,,Strong odor. Clean with ambient temp water to
,Furfuraldehyde,,,,,,,,,,,,,,,,,,"remove product, than  use warm  and steam for odor"
,Furforole,,,,,,,,,,,,,,,,,,
,Pyromucic aldehyde,,,,,,,,,,,,,,,,,,
,Quaker oil,,,,,,,,,,,,,,,,,,
,Bran oil,,,,,,,,,,,,,,,,,,
,Ant oil artificial,,,,,,,,,,,,,,,,,,
Furfuryl Alcohol,,1.130,20,.00086,3,2g,C,N,20,171,,65,38,N,N,claer,,2874,Color sensative. N2 normally required. Complee
,Furoneaubinol-2,,,,,,,,,,,,,,,or,,,moisture free tk required.Cold wash and ventilate.
,Furfuralcohol,,,,,,,,,,,,,,,pale,,,
,Furyl carbinol-a,,,,,,,,,,,,,,,,,,
,Hydroxy methylfuran-2,,,,,,,,,,,,,,,,,,
,Furyl carbinol,,,,,,,,,,,,,,,,,,
Fusel oil,,.813,20,,,,,N,,132,,43,Y,N,N,off-,,,Low flash solvent.
,Grain oil,,,,,,,,,,,,,,,white,,,"Easy cargo. Clean with ambient temp. water, vent."
,Potato oil,,,,,,,,,,,,,,,,,,
,Isobutyl carbinol,,,,,,,,,,,,,,,,,,
Fyrol cef,,1.430,20,,,,,N,,62,-51,290,N,N,N,ww,,,Full spec.require prior to booking
Gasohol,,.750,15,.00085,3,,N,N,33,150,,-40,35,N,N,bronze,negl,,Unleded gasoline with 0.5-4.9% benzene and 10%
,Petrol,,,,,,,,,,,,,,,,,,Ethyl alcohol. Handle and clean as for unleaded
,Motor spirits,,,,,,,,,,,,,,,,,,gasoline
,Unleaded gasoline containing alcohol,,,,,,,,,,,,,,,,,,
Gasoil Light,,.830,,,3,,,N,33,204,,38,49,N,N,wh,N,,Easy caargo. Clean with hot water aand steam. If
,Tractor & Auto diesel,,,,,,,,,,,,,,,pale,,,going back to sensitive cgo. Use Stolt A or B.
,Gasoil,,,,,,,,,,,,,,,orang,,,
Gasoline additive asd (shell),,.890,,,,,,N,,,,,,,,,,,More info required
Gasoline additive tba,,.780,,,,,,N,33,85,13,10,49,18,18,ww,N,,Gasoline additive. Belive this is same as tert-butyl.
,,,,,,,,,,,,,,,,,,,alcohol
Gasoline aviation 100/130,,.590,,,3,,,N,33,60,,,49,N,N,clear,N,,Aviation gasoline. Check if leaded.
Gasoline aviation 115/145,,.700,,,3,,,N,33,60,,,49,N,N,orange,N,,Aviation gasoline. Check if leaded.
Gasoline aviation 91/98,,.700,,,3,,,N,33,60,,,Y,N,N,,N,,Aviation gasoline. Check if leaded.
Gasoline blending stock reformate,,.793,20,,3,,N,N,33,135,,-18,,,,cless,N,,Hot wash. Always check if leaded or dyed. If so
,,,,,,,,,,,,,,,,,,,"consult Sni,s cleaning instructions."
Gasoline blending stocks alkyates,,.710,15,,3,,N,N,33,135,,-18,,,,cless,N,,"A mixture  of methyl, Ethyl and Butyl Ehters. Get"
,,,,,,,,,,,,,,,,,,,"exact spsification. Not yet classified, but could"
,Glycol ether residue,,,,,,,,,,,,,,,,,,be a compliance cargo ref. Butyl Ehter. 
,,,,,,,,,,,,,,,,,,,"Clean with warm water, ventilate."
Gasoline china,,.720,,,3,,,N,33,60,,-43,N,N,N,,N,,"Normally died, Need clorox for cleaning Contact"
,,,,,,,,,,,,,,,,,,,SNI for cleaning instructions
Gasoline hydro-crakate,,.650,,,3,,,N,33,,,,49,N,N,,N ,,Check if leaded or dyed.
Gasoline premier 93,,.740,,,3,,,N,33,,,,49,N,N,,N,,Check if leaded or dyed.
Gasoline Regular 81,,.700,,,3,,,N,33,,,49,49,N,N,,N,,"Hot wash always check if leaded or dyed,if so"
,,,,,,,,,,,,,,,,,,,consult SNI´s cleaning instructions
Gasoline sky chief,,.730,,,3,,,N,33,60,,,49,N,N,red,N,,"Hot wash always check if leaded or dyed,if so"
,,,,,,,,,,,,,,,,,,,consult SNI´s cleaning instructions
Gasoline super unleaded,,.750,15,.00080,3,,N,N,33,150,,-40,35,N,N,bronze,negl,,Gravity varies from .70-.77. Contaains .5-4.9%
,,,,,,,,,,,,,,,,,,,Benzene . Higly flammable.
Gluconic acid 50% solution,,1.240,15,,,,,,,,,,,,,brown,,,Have very little infos on this product. May require
,Glycogenic acid 50% solution,,,,,,,,,,,,,,,,,,heating  check. Not yet classified for  shipment.
,,,,,,,,,,,,,,,,,,,
Glucose syrup,,1.560,,.00080,3,,N,N,43,,,,Y,Y,Y,clear,Y,,Edible grad requires perfectly clean tanks.  Stow SS
,,,,,,,,,,,,,,,,yellow,,,"if possible. Diffrent grades, always get specs."
,,,,,,,,,,,,,,,,,,,and heating instructions. Clean with warm/hot water
,,,,,,,,,,,,,,,,,,,Marpol appendix 3: Other similar products are 
,,,,,,,,,,,,,,,,,,,"Starch and Corn syrup, Fructose or Dextrose."
,,,,,,,,,,,,,,,,,,,Always contact ops. dep before booking.
Glutar aldehyde,,1.124,20,,3,2g,D,Y,19,100,-7,,Y,30,,pale,Y,,"Avilaable in diffrent solutions, check. USCG and IMO"
,"Pentamedial solution-1,5",,,,,,,,,,,,,,,yellow,,,have classified a solution up to 50% Clean with cold
,,,,,,,,,,,,,,,,,,,"water first, than warm and steam for odor. "
Glycerin,,1.260,20,.00062,3,,N,N,20,204,16,149,Y,38,38,clear,Y,,Check FFA if crude grade. Get  Heating instructions
,Glycerol,,,,,,,,,,,,,,,to,,,Hot wash pollution category: Appendix 3
,Glycyl Alcohol,,,,,,,,,,,,,,,drk,,,
,"Propanetriol-1,2,3",,,,,,,,,,,,,,,,,,
,"Trihydroxypropane-1,2,3",,,,,,,,,,,,,,,,,,
,Glycerin crude,,,,,,,,,,,,,,,,,,
,Glycerin Synthetic,,,,,,,,,,,,,,,,,,
,Glycerine,,,,,,,,,,,,,,,,,,
,Glycerine Crude,,,,,,,,,,,,,,,,,,
,Glycerine Refined,,,,,,,,,,,,,,,,,,
,Soaplye Glycerine,,,,,,,,,,,,,,,,,,
Glycol ether mixed (EX Australia),,1.050,,,,,,N,,150,,77,38,N,N,blk,Y,,"a mixture of Methyl, Ethyl and Butyl Ethers. Get exact"
,,,,,,,,,,,,,,,,,,,"Spesification. Not yet classified, but could be a"
,Glycol ether residue,,,,,,,,,,,,,,,,,,compliance cargo. ref Buhyl ehter. Clean with warm
,,,,,,,,,,,,,,,,,,,"water, ventilate."
Glyoxal 40% solution,,1.280,18,,,,N,N,19,52,15,,38,N,N,yellow,Y,,"ww atandard, Color sensative, good coated tk req."
,Biformal,,,,,,,,,,,,,,,,,,"Product may oxidize to form Formic Acid, there fore"
,Biformyl,,,,,,,,,,,,,,,,,,suggest nitrogen. May require low heat in cold 
,Diformyl,,,,,,,,,,,,,,,,,,"climate. Clean with warm water, ventilate"
,Ethanedial,,,,,,,,,,,,,,,,,,
,Oxal,,,,,,,,,,,,,,,,,,
,Polyethylene liquid,,,,,,,,,,,,,,,,,,
,Oxaldehyde,,,,,,,,,,,,,,,,,,
Grease A white,,.900,,,3,,D,N,34,204,26,149,Y,,52,white to,,,Check grade and get heating instructions.
,,,,,,,,,,,,,,,,brown,,,Hot wash. Use Stolt C for spots:
Grease B white,,.900,,,3,,D,N,34,204,26,149,Y,,52,white to,,,Check grade and get heating instructions.
,,,,,,,,,,,,,,,,brown,,,Hot wash. Use Stolt C for spots:
Grease Brown,,.900,,,3,,D,N,34,204,26,149,Y,,52,white to,,,Check grade and get heating instructions.
,,,,,,,,,,,,,,,,brown,,,Hot wash. Use Stolt C for spots:
Grease choice white (hog),,.900,,,3,,D,N,34,204,26,149,Y,,52,white to,,,Check grade and get heating instructions.
,,,,,,,,,,,,,,,,brown,,,Hot wash. Use Stolt C for spots:
Grease choice white (nah),,.900,,,3,,D,N,34,204,26,149,Y,,52,white to,,,Check grade and get heating instructions.
,,,,,,,,,,,,,,,,brown,,,Hot wash. Use Stolt C for spots:
Grease Fleshing #1,,.900,,,3,,D,N,34,204,26,149,Y,,52,white to,,,Check grade and get heating instructions.
,,,,,,,,,,,,,,,,brown,,,Hot wash. Use Stolt C for spots:
Grease Fleshing #2,,.900,,,3,,D,N,34,204,26,149,Y,,52,white to,,,Check grade and get heating instructions.
,,,,,,,,,,,,,,,,brown,,,Hot wash. Use Stolt C for spots:
Grease Horse #1,,.900,,,3,,D,N,34,204,26,149,Y,,52,white to,,,Check grade and get heating instructions.
,,,,,,,,,,,,,,,,brown,,,Hot wash. Use Stolt C for spots:
Grease House,,.900,,,3,,D,N,34,204,26,149,Y,,52,white to,,,Check grade and get heating instructions.
,,,,,,,,,,,,,,,,brown,,,Hot wash. Use Stolt C for spots:
Grease Pigskin #1,,.900,,,3,,D,N,34,204,26,149,Y,,52,white to,,,Check grade and get heating instructions.
,,,,,,,,,,,,,,,,brown,,,Hot wash. Use Stolt C for spots:
Grease Yellow,,.900,,,3,,D,N,34,204,26,149,Y,,52,white to,,,Check grade and get heating instructions.
,,,,,,,,,,,,,,,,brown,,,Hot wash. Use Stolt C for spots:
Ground nut oil,,.900,25,,3,,D,N,34,285,,315,35,21,21,yellow,sli,,"Handle as peanut oil. If stow zinc, FFA must be"
,Peanut oil,,,,,,,,,,,,,,,,,,"below 2,5% Low heat may be required. Clean with"
,,,,,,,,,,,,,,,,,,,"hot water, if cleaning chems req - use Stolt C."
Gluftene 20/24,,.799,15,.00080,3,,N,N,30,,43,190,Y,Y,Y,ww,negl,,Alpha Olefin fraction from Gulf
,,,,,,,,,,,,,,,,,,,Get heating instruction  Handl.as Alpha  Olefin:
Gulftene 24/28,,.819,15,.00080,3,,,N,30,,63,193,Y,Y,Y,prime,,,Alpha Olefin fractions from gulf.Handle as another
,,,,,,,,,,,,,,,,white,negl,,"Alpha Olefin. This requires high heat, get instructions"
,,,,,,,,,,,,,,,,,,,"Clean with hot water, use Stolt A or B for final clean."
Gulftene 30+,,,,,3,,,N,30,,82,265,Y,Y,Y,std,negl,,"Alpha Olefin fractions from Gulf. Very high heat, we"
,,,,,,,,,,,,,,,,white,,,may not be able to handle. Get full specs.and 
,,,,,,,,,,,,,,,,,,,heating instructions.
Heart cut distillate,,.900,,,3,2g,,Y,34,138,,54,38,N,N,ww,N,,"Mix of aromatic hydrocarbons, no benzene, from "
,,,,,,,,,,,,,,,,,,,Exxon. Contain E.B: Mineral . Spirits. Styrene. Xylene
,Aromatic Hydrocarbons,,,,,,,,,,,,,,,,,,Compliance because of pollution. Easy product.
,,,,,,,,,,,,,,,,,,,"Clean with cold water, ventilate. Check Marpol"
,,,,,,,,,,,,,,,,,,,Classification
Heating oil #2,,.870 ,15,.00080,3,,N,N,33,171,-29,38,35,N,N,light,insol,,Handle and clean as for diesel oil.
,Fuel oil #2,,,,,,,,,,,,,,,amber,,,
Heavy recyle parrafin (Monsanto),,.770,15,,3,,,N,31,95,-10,96,38,N,N,clear,N,,"Easy product, handle as normal parrafin."
,Paraffin wax (Monsanto),,,,,,,,,,,,,,,,,,"Clean with warm water, ventilate. Marpol appendix 3"
Heptane Exxon-Baytown,,.730,20,,3,,N,N,31,98,-91,-1,N,N,N,ww,,,Handle as low flash. Acid wash may be required
,,,,,,,,,,,,,,,,,,,"depending last cargo. Clean with cold water, vent."
,,,,,,,,,,,,,,,,,,,Pollution category : Appendix 3
Heptane Standard S G,,.680,20,,3,,N,N,31,98,-91,-1,N,N,N,ww,N,,Handle as low flash. Acid wash may be required
,Dipropylmethane,,,,,,,,,,,,,,,,,,"depending last cargo. Clean with cold water, vent."
,,,,,,,,,,,,,,,,,,,Pollution category : Appendix 3
Heptanoic acid-norm,,.918,,,3,,D,N,4,221,-7,110,38,N,N,clear,N,,"ww standard, no wall wash. SS stow recommended."
,Enanthic acid,,,,,,,,,,,,,,,,,,"Color sensative, use N2: Clean with warm water."
,Heptyl acid-n,,,,,,,,,,,,,,,,,,Pollution category D is only provisionally assigned.
,Heptoic acid,,,,,,,,,,,,,,,,,,
Heptene Mixed,,.710,,,3,2g,C,Y,30,190,,-10,N,N,N,ww,N,,Handle as low flash. Acid wash may be required
,,,,,,,,,,,,,,,,,,,"if oil/fats last cargo. Clean with cold water, vent."
Heptene-1,,.700,,,3,2g,C,Y,30,93,-120,-7,N,N,N,ww,N,,Handle as normal low flash solvent.
,Heptylene,,,,,,,,,,,,,,,,,,ww standard . Acid wash may be required
,,,,,,,,,,,,,,,,,,,"if oil/fats last cargo. Clean with cold water, vent."
Heptene -2,,.704,,,3,2g,C,Y,30,99,,-2,N,N,N,ww,N ,,Handle as a normal low flash solvent. ww standard.
,,,,,,,,,,,,,,,,,,,Acid wash may be required if last cargo oils/fats.
,,,,,,,,,,,,,,,,,,,"Clean with cold water, ventilate."
Herbicide (Ciba-Geigy),,1.120,20,,3,2g,C,Y,33,100,,200,,,,,,,"ww standard, easy product. Classified as complia-"
,,,,,,,,,,,,,,,,,,,nce cargo because of poluution hazard. Full name
,,,,,,,,,,,,,,,,,,,is: (2-chloro-N-(2-ethyl-6-methyl phenyl)-(2-methoxy-
,Metolachlor,,,,,,,,,,,,,,,,,,"1-methylethyl) acatamide). Clean with cold water,"
,Metolachlor Technical,,,,,,,,,,,,,,,,,,ventilate. Whave sucessfully carried in Phenoline
,,,,,,,,,,,,,,,,,,,and Phenoguard
Herring oil,,.920,,,3,,D,N,34,204,16,204,49,21,32,clear,sli,,Drying oil. Check FFA. Avoid heat adjacent. Cold
,Fish oil,,,,,,,,,,,,,,,yel-drk,,,wash followed by warm. Use Stolt C for spots.
Hexachlorocyclopentadiene,,1.710,20,,,,,,,239,9,,38,21,27,yel-gr,,,"Higly toxic, tolerane  only 0.01 ppm in air. Not class-"
,,,,,,,,,,,,,,,,yellow,,,"ified for bulk shipments, will be compiance cargo"
,Perchlorocyclopentadiene,,,,,,,,,,,,,,,,,,"Will be difficult to handle, may req,external heating."
,,,,,,,,,,,,,,,,,,,Must know water content if stow SS. Check with ops
,,,,,,,,,,,,,,,,,,,Dep fo rCleaning handling insstruction.
Hexamethylenediamine pure,,.860,,,3,2g,C,Y,7,204,41,,Y,52,52,ww,sli,1783,Check Gen Ops prior booking. We should ba able 
,"Diaminohexane-1,6",,,,,,,,,,,,,,,,,,"to handle, only problem could be heating. Also "
,Hmda,,,,,,,,,,,,,,,,,,see Hexamethylenediamine Solution.
Hexamethylenediamine solutions,,.900,,,3,2g,C,Y,7,116,17,115,Y,24,27,ww,sli,1783,Check concentration as may require heating. Heat
,,,,,,,,,,,,,,,,,,,by external means only. Normally no heating req.
,,,,,,,,,,,,,,,,,,,"Product is color sensative, use N2."
,,,,,,,,,,,,,,,,,,,"Clean with warm water, ventilate."
Hexamethyleneimine,,.880,,,2,2g,C,Y,7,132,,38,N,N,N,clear,p.ly,2493,Celanese require wallwash for clorides and hydro-
